"Colonia","Población total","Porcentaje de población masculina","Porcentaje de población femenina","Porcentaje de población de 0 a 14 años","Porcentaje de población de 15 a 64 años","Porcentaje de población de 65 y más años","Porcentaje de población no especificada","Fecundidad promedio","Porcentaje de población con discapacidad","Población Económicamente Activa","Población Económicamente Activa masculina","Población Económicamente Activa femenina","Población Ocupada","Población Ocupada masculina","Población Ocupada femenina","Población Desocupada","Derechohabiencia","Hogares","Ocupación por Vivienda","Viviendas con Electricidad","Viviendas con Agua","Viviendas con Drenaje","Viviendas con Televisión","Viviendas con Automóvil","Viviendas con Computadora","Total Actividades Económicas","Primer actividad nombre","Primer actividad porcentaje","Segunda actividad nombre","Segunda actividad porcentaje","Tercera actividad nombre","Tercera actividad porcentaje","Cuarta actividad nombre","Cuarta actividad porcentaje","Quinta actividad nombre","Quinta actividad porcentaje"
"Primera Rinconada de La Unión",837,50.49,49.51,27.82,62.23,9.95,0,2.36,5.92,51.24,72.42,27.58,94.75,70.97,29.03,5.25,64.76,230,3.64,100,99.96,99.97,98.19,17.72,16.22,12,"Comercio Menudeo",66.67,"Preparación de Alimentos y Bebidas",25,"Otros servicios, excepto Gobierno",8.33,,,,
"Primero de Cobián (Centro)",2513,46.58,53.42,15.46,64.89,17.94,1.71,1.82,6.75,54.77,58.68,41.32,92.46,58.47,41.53,7.54,66.47,833,3.02,99.61,99.49,99,98.52,49.64,45.22,990,"Comercio Menudeo",22.63,"Otros servicios, excepto Gobierno",13.74,"Profesionales, Científicos, Técnicos",13.74,"Preparación de Alimentos y Bebidas",12.22,"Salud",9.9
"Primero de Mayo",2503,49.58,50.42,27.67,63.7,8.51,0.12,2.67,6.66,53.44,68.48,31.52,88.45,66.08,33.92,11.55,69.85,639,3.92,99.3,97.27,97.89,98.19,32.29,19.41,29,"Comercio Menudeo",62.07,"Educativos",13.79,"Preparación de Alimentos y Bebidas",6.9,"Industria Manufacturera",6.9,"Salud",3.45
"Primitivo (Centro)",1527,45.32,54.68,18.76,60.71,15.41,5.12,1.97,8.83,58.44,55.47,44.53,93.4,54.74,45.26,6.6,58.61,433,3.53,99.94,99.69,99.47,98.45,40.56,30.6,2442,"Comercio Menudeo",50.29,"Preparación de Alimentos y Bebidas",12.12,"Otros servicios, excepto Gobierno",11.51,"Comercio Mayoreo",8.15,"Profesionales, Científicos, Técnicos",3.6
"Prolongación Los Nogales",3204,45.32,54.68,19.01,70.66,8.74,1.59,1.99,5.61,50.5,55.88,44.12,91.54,54.86,45.14,8.46,78.71,901,3.56,100,99.89,99.89,99.56,79.69,64.82,91,"Comercio Menudeo",36.26,"Otros servicios, excepto Gobierno",19.78,"Preparación de Alimentos y Bebidas",10.99,"Educativos",6.59,"Industria Manufacturera",6.59
"Provitec",1243,47.95,52.05,21.48,73.93,4.59,0,1.69,3.3,53.93,59.5,40.5,93,60.27,39.73,7,77.15,351,3.54,99.72,99.43,99.72,99.15,73.79,65.81,82,"Comercio Menudeo",39.02,"Otros servicios, excepto Gobierno",19.51,"Preparación de Alimentos y Bebidas",12.2,"Educativos",9.76,"Industria Manufacturera",6.1
"Puerta Real",886,48.75,51.25,33.15,64.8,1.93,0.12,1.29,1.06,64.83,60.38,39.62,97.96,60.81,39.19,2.04,86.07,275,3.22,100,100,100,99.89,96.37,85.38,4,"Comercio Menudeo",75,"Industria Manufacturera",25,,,,,,
"Quintas Anna",167,49.1,50.9,33.53,53.29,2.4,10.78,2,2.4,61.54,68.75,31.25,95.09,68.85,31.15,4.91,72.46,41,4.07,100,100,100,97.56,46.34,29.27,8,"Comercio Menudeo",50,"Preparación de Alimentos y Bebidas",37.5,"Agricultura",12.5,,,,
"Quintas Campestre - Los Laureles",921,49.95,50.05,28.7,49.73,3.95,17.62,1.5,2.38,58.51,60.61,39.39,97.61,60.34,39.66,2.39,70.15,200,4.6,100,100,100,99.54,98.33,94.76,4,"Comercio Menudeo",50,"Inmobiliarios",25,"Esparcimiento, Culturales, Deportivos",25,,,,
"Quintas del Desierto",0,,,,,,,,,,,,,,,,,0,,,,,,,,7,"Preparación de Alimentos y Bebidas",28.57,"Comercio Mayoreo",28.57,"Otros servicios, excepto Gobierno",14.29,"Transportes, Correo, Almacenamiento",14.29,"Construcción",14.29
"Quintas del Nazas",1671,48.65,51.35,36.74,60.2,1.08,1.98,1.72,2.06,59.15,62.48,37.52,96.19,61.69,38.31,3.81,79.23,458,3.65,100,99.78,99.78,99.56,72.49,53.71,16,"Comercio Menudeo",43.75,"Preparación de Alimentos y Bebidas",25,"Educativos",18.75,"Manejo de Residuos",6.25,"Otros servicios, excepto Gobierno",6.25
"Quintas Isabela",28,53.57,46.43,21.43,60.71,17.86,0,2.09,0,45.83,63.64,36.36,100,63.64,36.36,0,100,11,2.55,100,100,100,100,90.91,81.82,0,,,,,,,,,,
"Quintas La Merced",457,48.14,51.86,32.82,65.86,1.31,0.01,1.63,3.37,52.15,60.99,39.01,92.35,61.54,38.46,7.65,71.99,121,3.78,100,100,99.17,98.35,71.07,49.59,5,"Comercio Menudeo",60,"Salud",20,"Esparcimiento, Culturales, Deportivos",20,,,,
"Quintas La Perla",212,48.08,51.92,35.44,63.56,0.51,0.49,1.22,1.45,74.02,56.95,43.05,99.91,56.92,43.08,0.09,89.66,70,3.03,100,100,100,93.33,84,53.57,2,"Comercio Menudeo",100,,,,,,,,
"Quintas Laguna",955,50.05,49.95,36.86,58.64,1.36,3.14,1.84,1.47,58.56,65.3,34.7,93.93,64.93,35.07,6.07,79.06,243,3.93,100,100,100,99.59,62.55,35.07,19,"Comercio Menudeo",47.37,"Preparación de Alimentos y Bebidas",26.32,"Otros servicios, excepto Gobierno",15.79,"Salud",5.26,"Financieros y Seguros",5.26
"Quintas Los Nogales",330,50.01,49.99,30.96,65.07,3.96,0.01,1.96,0.58,58.92,65.45,34.55,92.32,65.86,34.14,7.68,72.34,104,3.17,99.68,100,100,99.67,45.46,28.08,21,"Comercio Menudeo",47.62,"Preparación de Alimentos y Bebidas",19.05,"Otros servicios, excepto Gobierno",14.29,"Manejo de Residuos",9.52,"Inmobiliarios",4.76
"Quintas San Antonio",589,47.37,52.63,37.01,60.1,2.89,0,1.54,1.63,62.85,57.49,42.51,96.22,56.72,43.28,3.78,84.38,163,3.61,100,100,100,100,95.09,85.28,6,"Inmobiliarios",33.33,"Comercio Menudeo",16.67,"Financieros y Seguros",16.67,"Otros servicios, excepto Gobierno",16.67,"Preparación de Alimentos y Bebidas",16.67
"Quintas San Antonio III",425,51.29,48.71,36.24,61.65,1.18,0.93,1.77,3.67,59.8,63.84,36.16,98.86,63.43,36.57,1.14,83.06,116,3.66,100,100,100,100,79.31,61.46,10,"Preparación de Alimentos y Bebidas",30,"Otros servicios, excepto Gobierno",20,"Salud",10,"Comercio Menudeo",10,"Educativos",10
"Quintas San Isidro",804,48.38,51.62,27.68,68.95,2.99,0.38,1.49,1.28,52.63,62.43,37.57,96.88,61.57,38.43,3.12,71.2,220,3.65,100,99.32,100,99.32,99.75,89.72,0,,,,,,,,,,
"Rastro Municipal",0,,,,,,,,,,,,,,,,,0,,,,,,,,4,"Transportes, Correo, Almacenamiento",50,"Comercio Menudeo",25,"Industria Manufacturera",25,,,,
"Real Del Nogalar",1,51.68,48.32,32.22,58.7,1.95,7.13,1.66,1.73,60.1,63.38,36.62,95.74,62.97,37.03,4.26,73.41,0,,,,,,,,0,,,,,,,,,,
"Real del Sol",497,51.91,48.09,38.83,59.56,1.61,0,2.21,1.99,63,69.42,30.58,95.97,68.69,31.31,4.03,74.85,138,3.6,100,99.28,100,99.28,39.12,26.62,8,"Comercio Menudeo",75,"Otros servicios, excepto Gobierno",25,,,,,,
"Real del Sol II",574,46.68,53.32,38.35,60.58,1.06,0.01,1.94,2,58.76,65.6,34.4,96.76,64.49,35.51,3.24,68.3,149,3.85,100,100,100,98.05,34.64,14.9,6,"Comercio Menudeo",100,,,,,,,,
"Real San Agustín",599,49.75,50.25,38.4,59.77,1.84,-0.01,1.97,3.91,55.42,70.91,29.09,89.55,69.35,30.65,10.45,75.63,161,3.72,100,98.76,98.14,98.76,37.87,16.79,5,"Comercio Menudeo",40,"Otros servicios, excepto Gobierno",40,"Preparación de Alimentos y Bebidas",20,,,,
"Recintos Villas Universidad",485,51.35,48.65,33.13,65.18,1.68,0.01,1.27,2.52,69.26,60.37,39.63,96.87,60.01,39.99,3.13,85.9,143,3.39,100,99.81,100,99.12,84.64,58.61,13,"Comercio Menudeo",46.15,"Otros servicios, excepto Gobierno",23.08,"Preparación de Alimentos y Bebidas",15.38,"Construcción",7.69,"Comercio Mayoreo",7.69
"Residencial Campestre La Rosita",3367,48.5,51.5,15.67,66.17,10.05,8.11,1.82,1.26,54.36,61.86,38.14,98.4,61.71,38.29,1.6,74.72,848,3.97,99.66,98.4,98.65,97.67,95.97,91.09,433,"Comercio Menudeo",31.18,"Otros servicios, excepto Gobierno",16.4,"Preparación de Alimentos y Bebidas",15.7,"Financieros y Seguros",5.54,"Salud",4.62
"Residencial Cumbres",21,44.16,55.84,29.3,67.43,2.65,0.62,1.55,0.81,48.26,68.99,31.01,98.03,68.71,31.29,1.97,86.11,5,4.2,100,100,100,100,100,100,0,,,,,,,,,,
"Residencial del Nazas",1290,49.34,50.66,31.9,61.1,4.82,2.18,1.9,2.48,55.91,59.11,40.89,91.86,58.78,41.22,8.14,80.58,329,3.92,100,99.48,99.78,99.16,71.41,56.77,46,"Comercio Menudeo",39.13,"Otros servicios, excepto Gobierno",21.74,"Educativos",15.22,"Preparación de Alimentos y Bebidas",13.04,"Salud",2.17
"Residencial del Norte",8476,48.35,51.65,28.29,68.38,2.24,1.09,1.82,1.88,54.88,62.44,37.56,94.41,61.04,38.96,5.59,76.46,2179,3.89,99.5,99.17,99.08,99.17,58.6,45.62,134,"Comercio Menudeo",48.51,"Preparación de Alimentos y Bebidas",20.15,"Otros servicios, excepto Gobierno",11.19,"Industria Manufacturera",7.46,"Educativos",3.73
"Residencial del Valle",345,45.8,54.2,23.77,72.75,3.48,0,1.65,3.99,51.41,58.9,41.1,94.98,58.27,41.73,5.02,84.35,96,3.59,100,100,100,98.96,87.5,79.17,20,"Comercio Menudeo",35,"Manejo de Residuos",15,"Industria Manufacturera",15,"Preparación de Alimentos y Bebidas",10,"Comercio Mayoreo",10
"Residencial El Fresno",1078,46.95,53.05,25.52,68.73,5.1,0.65,1.62,2.91,51.61,57.94,42.06,99.41,57.98,42.02,0.59,86.11,282,3.82,99.68,99.68,99.68,99.29,97.94,92.79,303,"Comercio Menudeo",48.51,"Preparación de Alimentos y Bebidas",17.49,"Otros servicios, excepto Gobierno",6.93,"Financieros y Seguros",5.61,"Manejo de Residuos",2.97
"Residencial El Secreto",549,46.08,53.92,33.88,60.47,2.91,2.74,1.53,0.93,53.3,62.87,37.13,97.46,62.94,37.06,2.54,73.04,134,4.1,98.51,98.51,98.51,98.51,94.78,85.82,10,"Comercio Menudeo",30,"Otros servicios, excepto Gobierno",20,"Educativos",10,"Preparación de Alimentos y Bebidas",10,"Profesionales, Científicos, Técnicos",10
"Residencial Florida Blanca",413,49.88,50.12,23.73,68.77,5.33,2.17,1.5,2.39,48.65,59.26,40.74,92.05,59.33,40.67,7.95,83.78,109,3.79,100,100,100,100,94.5,88.99,5,"Comercio Menudeo",20,"Educativos",20,"Manejo de Residuos",20,"Otros servicios, excepto Gobierno",20,"Profesionales, Científicos, Técnicos",20
"Residencial Frondoso",271,48.71,51.29,26.94,62.36,4.06,6.64,1.49,1.48,54.04,60.75,39.25,99.06,60.38,39.62,0.94,82.29,65,4.17,98.46,96.92,96.92,98.46,96.92,90.77,0,,,,,,,,,,
"Residencial Galerías",21,44.75,55.25,40.31,58.91,0.63,0.15,1.53,0.37,54.59,61.01,38.99,98.93,60.77,39.23,1.07,93.68,5,4.2,100,100,100,100,100,99.46,0,,,,,,,,,,
"Residencial Hacienda El Rosario",553,47.38,52.62,27.12,66,3.07,3.81,1.47,1.02,56.19,62.71,37.29,98.71,62.66,37.34,1.29,78.84,138,4.01,100,98.55,100,100,100,92.03,9,"Comercio Menudeo",55.56,"Otros servicios, excepto Gobierno",33.33,"Esparcimiento, Culturales, Deportivos",11.11,,,,
"Residencial Hacienda San José",0,,,,,,,,,,,,,,,,,0,,,,,,,,1,"Comercio Menudeo",100,,,,,,,,
"Residencial Ibero",106,48.14,51.86,36.21,51.14,9.55,3.1,1.48,1.51,52.58,67.84,32.16,96.76,66.86,33.14,3.24,65.56,27,3.93,100,100,100,100,98.3,81.61,0,,,,,,,,,,
"Residencial la Hacienda",2334,48.41,51.59,19.57,72.87,3.89,3.67,1.62,1.64,49.95,58.58,41.42,96.76,58.21,41.79,3.24,73.82,601,3.88,100,100,99.83,99.5,93.51,88.35,99,"Comercio Menudeo",32.32,"Otros servicios, excepto Gobierno",24.24,"Preparación de Alimentos y Bebidas",10.1,"Salud",7.07,"Educativos",6.06
"Residencial La Rosa",502,49.2,50.8,19.92,70.92,4.98,4.18,1.55,1,51.97,59.72,40.28,93.46,58.59,41.41,6.54,79.88,134,3.75,100,99.25,100,99.25,92.54,87.31,23,"Otros servicios, excepto Gobierno",30.43,"Preparación de Alimentos y Bebidas",26.09,"Comercio Menudeo",13.04,"Manejo de Residuos",13.04,"Salud",8.7
"Residencial Las Etnias",3787,48.69,51.31,34.25,61.18,2.59,1.98,1.62,1.13,62.27,61.97,38.03,95.42,60.81,39.19,4.58,81.57,1067,3.55,100,99.91,100,99.34,78.35,57.45,62,"Comercio Menudeo",40.32,"Preparación de Alimentos y Bebidas",17.74,"Otros servicios, excepto Gobierno",11.29,"Comercio Mayoreo",9.68,"Educativos",6.45
"Residencial Las Isabeles",464,48.28,51.72,31.9,60.13,0.22,7.75,1.56,0.47,52.24,68.71,31.29,98.13,68.12,31.88,1.87,83.89,100,4.64,99,97,98,99,99,98,5,"Comercio Menudeo",80,"Educativos",20,,,,,,
"Residencial Las Misiones",152,41.45,58.55,15.79,73.68,4.61,5.92,1.46,0,47.97,57.63,42.37,98.28,58.62,41.38,1.72,78.95,37,4.11,100,100,100,100,97.3,81.08,56,"Comercio Menudeo",57.14,"Financieros y Seguros",14.29,"Preparación de Alimentos y Bebidas",10.71,"Otros servicios, excepto Gobierno",7.14,"Inmobiliarios",1.79
"Residencial Las Torres",6074,48.68,51.32,21.3,70.91,5.8,1.99,1.89,2.99,52.42,59.07,40.93,92.97,58.16,41.84,7.03,76.87,1615,3.76,99.88,99.75,99.75,99.32,75.42,64.67,132,"Comercio Menudeo",40.91,"Preparación de Alimentos y Bebidas",12.12,"Otros servicios, excepto Gobierno",10.61,"Salud",7.58,"Industria Manufacturera",6.06
"Residencial Las Trojes",134,46.85,53.15,29.28,69.67,0.96,0.09,1.33,0.3,62.76,61.5,38.5,98.22,62.44,37.56,1.78,97.49,42,3.19,100,100,100,100,99.05,96.02,1,"Transportes, Correo, Almacenamiento",100,,,,,,,,
"Residencial Las Villas",604,47.83,52.17,35.89,55.53,3.07,5.51,1.69,0.54,47.95,69.88,30.12,98.64,70.02,29.98,1.36,82.02,133,4.54,100,100,100,100,97.74,93.17,4,"Manejo de Residuos",50,"Inmobiliarios",25,"Profesionales, Científicos, Técnicos",25,,,,
"Residencial Lindavista",32,46.88,53.12,21.88,78.12,0,0,1.64,0,50,61.54,38.46,100,61.54,38.46,0,81.25,8,4,100,100,100,100,100,100,0,,,,,,,,,,
"Residencial Los Fresnos",936,46.58,53.42,27.56,69.23,2.46,0.75,1.54,1.39,49.05,66.76,33.24,98.31,66.48,33.52,1.69,88.57,235,3.98,100,100,99.57,97.87,97.87,92.77,1,"Comercio Menudeo",100,,,,,,,,
"Residencial Los Portones",419,45.58,54.42,26.01,70.64,1.19,2.16,1.27,1.91,62.85,52.71,47.29,97.99,52.26,47.74,2.01,94.27,124,3.38,100,100,100,100,97.58,91.94,6,"Esparcimiento, Culturales, Deportivos",33.33,"Comercio Menudeo",16.67,"Educativos",16.67,"Preparación de Alimentos y Bebidas",16.67,"Industria Manufacturera",16.67
"Residencial Palma Real",1451,50.17,49.83,32.64,64.81,1.73,0.82,1.39,0.46,67.96,60.96,39.04,99.12,60.76,39.24,0.88,86.39,451,3.22,99.26,98.82,97.93,98.37,97.21,85.3,2,"Comercio Menudeo",100,,,,,,,,
"Residencial Rincón del Desierto",140,49.29,50.71,24.29,72.86,2.86,-0.01,1.5,3.42,50.86,62.71,37.29,98.28,63.79,36.21,1.72,90.71,39,3.59,100,97.44,100,100,87.18,89.74,0,,,,,,,,,,
"Residencial Santa Bárbara",653,50.23,49.77,31.55,63.55,1.68,3.22,1.46,0.13,63.94,61.9,38.1,97.88,61.8,38.2,2.12,79.17,195,3.35,100,98.97,98.97,98.97,96.92,92.82,26,"Comercio Menudeo",42.31,"Preparación de Alimentos y Bebidas",19.23,"Otros servicios, excepto Gobierno",15.38,"Educativos",7.69,"Industria Manufacturera",7.69
"Residencial Santiago",348,50.57,49.43,34.77,61.78,2.59,0.86,2.08,2.76,62.14,70.2,29.8,96.58,71.23,28.77,3.42,83.33,104,3.35,99.04,100,99.04,96.15,50.18,35.73,6,"Comercio Menudeo",50,"Educativos",50,,,,,,
"Residencial Saulo",64,50,50,34.38,65.62,0,0,1.04,0,52.38,53.18,46.82,100,53.06,46.94,0,67.19,13,4.92,100,100,100,100,100,100,0,,,,,,,,,,
"Residencial Senderos",3094,48.83,51.17,29.37,64.33,2.86,3.44,1.3,0.98,68.43,58.57,41.43,98.88,58.73,41.27,1.12,81.81,911,3.4,99.95,99.51,99.73,99.29,98.19,89.68,17,"Preparación de Alimentos y Bebidas",35.29,"Comercio Menudeo",23.53,"Otros servicios, excepto Gobierno",11.76,"Construcción",11.76,"Educativos",5.88
"Residencial Tecnológico",92,41.3,58.7,16.3,81.52,2.17,0.01,1.38,0,50,56.1,43.9,100,56.1,43.9,0,84.78,24,3.83,100,95.83,100,100,100,91.67,102,"Salud",58.82,"Comercio Menudeo",22.55,"Preparación de Alimentos y Bebidas",11.76,"Otros servicios, excepto Gobierno",1.96,"Información Medios Masivos",0.98
"Residencial Victoria",1111,47.61,52.39,36.45,59.86,2.07,1.62,1.92,3.22,61.07,61.76,38.24,89.14,61.22,38.78,10.86,77.32,296,3.75,100,100,100,99.66,51.68,27.42,38,"Comercio Menudeo",31.58,"Otros servicios, excepto Gobierno",28.95,"Preparación de Alimentos y Bebidas",10.53,"Salud",5.26,"Industria Manufacturera",5.26
"Ricardo Flores Magon",320,49.38,50.62,29.06,65,3.12,2.82,2.4,0.41,58.02,65.96,34.04,85.63,65.85,34.15,14.37,51.25,73,4.38,100,100,100,100,35.62,19.18,3,"Comercio Menudeo",66.67,"Otros servicios, excepto Gobierno",33.33,,,,,,
"Rincon de La Hacienda",520,46.92,53.08,17.88,71.92,7.31,2.89,1.59,1.78,52.42,59.03,40.97,97.29,59.28,40.72,2.71,70.96,148,3.51,100,99.32,100,99.32,82.43,75,27,"Comercio Menudeo",33.33,"Otros servicios, excepto Gobierno",14.81,"Salud",11.11,"Educativos",11.11,"Preparación de Alimentos y Bebidas",11.11
"Rincón de La Joya",153,50.32,49.68,38.93,60.37,0.68,0.02,1.94,4.6,60.7,67.67,32.33,93.15,67.15,32.85,6.85,64.4,44,3.48,100,100,100,100,34.33,30.39,10,"Comercio Menudeo",50,"Preparación de Alimentos y Bebidas",30,"Inmobiliarios",10,"Manejo de Residuos",10,,
"Rincón de Las Noas",903,49.94,50.06,36.54,59.91,3.54,0.01,1.8,2.07,56.11,65.29,34.71,96.97,64.85,35.15,3.03,76.63,231,3.91,100,100,100,98.7,61.46,36.81,19,"Preparación de Alimentos y Bebidas",26.32,"Comercio Menudeo",21.05,"Otros servicios, excepto Gobierno",21.05,"Salud",10.53,"Industria Manufacturera",10.53
"Rincon de Las Trojes",54,42.59,57.41,31.48,68.52,0,0,1.57,10.17,57.14,54.17,45.83,100,54.17,45.83,0,98.15,15,3.6,100,100,100,100,100,86.67,10,"Comercio Menudeo",30,"Industria Manufacturera",20,"Comercio Mayoreo",20,"Manejo de Residuos",10,"Preparación de Alimentos y Bebidas",10
"Rincón de Los Nogales",2017,50.47,49.53,36.79,54.78,3.37,5.06,1.76,2.04,59.79,64.52,35.48,91.11,64.63,35.37,8.89,78.19,495,4.07,99.8,99.8,100,99.39,60.4,37.78,41,"Comercio Menudeo",41.46,"Otros servicios, excepto Gobierno",21.95,"Preparación de Alimentos y Bebidas",14.63,"Educativos",9.76,"Industria Manufacturera",7.32
"Rincón del Bosque",1041,51.2,48.8,31.12,62.63,4.51,1.74,2.49,5.15,53.3,70.97,29.03,87.03,69.37,30.63,12.97,60.61,249,4.18,99.6,99.6,99.6,98.39,50.48,31.3,33,"Otros servicios, excepto Gobierno",36.36,"Comercio Menudeo",30.3,"Preparación de Alimentos y Bebidas",9.09,"Comercio Mayoreo",9.09,"Industria Manufacturera",6.06
"Rincón del Pedregal",1064,50,50,37.97,58.55,2.35,1.13,1.95,2.48,57.71,63.73,36.27,87.47,62.71,37.29,12.53,72.93,280,3.8,99.64,99.64,99.29,98.93,50.36,31.09,18,"Comercio Menudeo",38.89,"Otros servicios, excepto Gobierno",22.22,"Preparación de Alimentos y Bebidas",22.22,"Industria Manufacturera",11.11,"Salud",5.56
"Rincón del Valle",164,44.51,55.49,37.8,62.2,0,0,1.8,1.83,61.61,62.32,37.68,95.46,62.12,37.88,4.54,85.37,43,3.81,100,100,100,100,83.72,73.79,1,"Comercio Menudeo",100,,,,,,,,
"Rincón La Merced",15507,49.13,50.87,33.62,62.44,2.9,1.04,1.84,2.39,53.9,63.67,36.33,92.42,62.92,37.08,7.58,72.68,3946,3.93,99.79,99.46,99.33,98.9,56.62,40.73,309,"Comercio Menudeo",45.63,"Preparación de Alimentos y Bebidas",16.18,"Otros servicios, excepto Gobierno",15.53,"Educativos",6.15,"Industria Manufacturera",5.5
"Rincón La Rosita",445,46.97,53.03,19.16,75.74,5.1,0,1.51,2.78,48.31,54.84,45.16,99.46,54.59,45.41,0.54,90.56,129,3.45,100,100,100,100,97.67,85.27,20,"Comercio Menudeo",25,"Salud",15,"Otros servicios, excepto Gobierno",15,"Financieros y Seguros",10,"Preparación de Alimentos y Bebidas",10
"Rincón San Ángel",461,50.76,49.24,31.67,57.48,4.34,6.51,1.8,1.08,55.48,65.7,34.3,97.01,66.47,33.53,2.99,73.75,108,4.27,99.07,98.15,97.22,93.52,90.68,82.41,25,"Comercio Menudeo",48,"Preparación de Alimentos y Bebidas",20,"Otros servicios, excepto Gobierno",8,"Industria Manufacturera",8,"Salud",4
"Rincón San José",122,43.44,56.56,32.79,63.93,0.82,2.46,1.36,0.21,69.88,51.72,48.28,96.43,50,50,3.57,86.07,39,3.13,97.44,97.44,97.44,97.44,84.08,80.53,1,"Comercio Menudeo",100,,,,,,,,
"Rincón San Salvador",610,51.31,48.69,39.02,58.03,1.48,1.47,1.72,5.13,67.77,58.05,41.95,96.52,57.75,42.25,3.48,73.11,166,3.67,99.4,99.4,99.4,98.8,82.53,53.01,4,"Comercio Menudeo",75,"Industria Manufacturera",25,,,,,,
"Roma",1800,47.72,52.28,22.39,71.5,3.78,2.33,1.47,2.11,51.39,58.42,41.58,96.18,57.51,42.49,3.82,80.39,494,3.64,99.6,99.19,99.6,98.38,88.66,79.55,11,"Comercio Menudeo",63.64,"Otros servicios, excepto Gobierno",9.09,"Preparación de Alimentos y Bebidas",9.09,"Profesionales, Científicos, Técnicos",9.09,"Industria Manufacturera",9.09
"Salvador Allende",2544,48.07,51.93,29.8,62.85,6.25,1.1,2.62,4.01,50.32,67.12,32.88,91.41,66.44,33.56,8.59,66.78,598,4.25,100,99.16,98.83,99.5,40.13,21.04,85,"Comercio Menudeo",40,"Otros servicios, excepto Gobierno",22.35,"Industria Manufacturera",14.12,"Preparación de Alimentos y Bebidas",7.06,"Comercio Mayoreo",7.06
"San Agustín",902,51.2,48.8,36.95,59.69,2.31,1.05,2.04,7.51,60.68,61.03,38.97,86.82,57.67,42.33,13.18,53.55,258,3.5,100,97.2,88.28,97.58,49.61,25.31,14,"Comercio Menudeo",57.14,"Otros servicios, excepto Gobierno",14.29,"Salud",7.14,"Preparación de Alimentos y Bebidas",7.14,"Construcción",7.14
"San Diego",162,45.06,54.94,25.93,70.37,3.7,0,1.75,3.7,64.8,51.85,48.15,94.82,50.65,49.35,5.18,88.27,54,3,100,100,100,100,83.33,40.74,2,"Comercio Menudeo",50,"Preparación de Alimentos y Bebidas",50,,,,,,
"San Eduardo",139,49.64,50.36,39.57,58.99,1.44,0,2.19,3.07,61.96,64.91,35.09,94.46,62.96,37.04,5.54,79.14,36,3.86,100,100,100,100,69.44,38.89,14,"Comercio Menudeo",21.43,"Preparación de Alimentos y Bebidas",14.29,"Comercio Mayoreo",14.29,"Salud",7.14,"Inmobiliarios",7.14
"San Felipe",3771,47.64,52.36,27.2,67.78,4.11,0.91,1.75,9.09,55.73,57.22,42.78,95.4,56.98,43.02,4.6,82.2,1027,3.67,99.83,98.86,99.83,99.25,80.06,66.62,144,"Comercio Menudeo",31.94,"Comercio Mayoreo",14.58,"Otros servicios, excepto Gobierno",11.11,"Industria Manufacturera",11.11,"Preparación de Alimentos y Bebidas",6.94
"San Isidro",2412,46.28,53.72,13.52,62.58,16.23,7.67,2.06,5.46,50.6,59.58,40.42,97.6,59.65,40.35,2.4,75.14,679,3.55,99.93,99.33,99.48,96.59,93.75,82.63,205,"Comercio Menudeo",28.29,"Otros servicios, excepto Gobierno",15.61,"Profesionales, Científicos, Técnicos",13.66,"Preparación de Alimentos y Bebidas",12.2,"Financieros y Seguros",6.34
"San Joaquín",3646,48.84,51.16,27.14,63.02,9.81,0.03,2.58,15.1,51.28,66.46,33.54,93.35,66.12,33.88,6.65,59.6,972,3.75,98.93,98.31,98.42,97.17,34.94,23.24,122,"Comercio Menudeo",39.34,"Otros servicios, excepto Gobierno",15.57,"Preparación de Alimentos y Bebidas",13.11,"Industria Manufacturera",8.2,"Educativos",6.56
"San José",98,43.88,56.12,27.55,67.35,5.1,0,1.63,6.15,50,56.41,43.59,82.31,51.52,48.48,17.69,75.51,27,3.63,100,96.3,100,100,66.67,55.56,2,"Comercio Menudeo",100,,,,,,,,
"San Luciano",223,45.74,54.26,18.83,74.89,6.28,0,1.64,3.14,50.78,51.02,48.98,100,51.02,48.98,0,87.89,52,4.29,100,100,100,100,98.08,92.31,22,"Comercio Menudeo",36.36,"Comercio Mayoreo",18.18,"Otros servicios, excepto Gobierno",13.64,"Preparación de Alimentos y Bebidas",9.09,"Industria Manufacturera",9.09
"San Marcos",1837,47.47,52.53,25.11,63.52,9.89,1.48,2.67,8.97,55.08,62.75,37.25,94.86,62.14,37.86,5.14,70.73,482,3.81,99.9,99.9,99.9,97.83,51.23,30.84,74,"Comercio Menudeo",35.14,"Otros servicios, excepto Gobierno",21.62,"Industria Manufacturera",17.57,"Preparación de Alimentos y Bebidas",8.11,"Esparcimiento, Culturales, Deportivos",4.05
"San Marino",0,,,,,,,,,,,,,,,,,0,,,,,,,,7,"Comercio Menudeo",42.86,"Comercio Mayoreo",28.57,"Otros servicios, excepto Gobierno",14.29,"Preparación de Alimentos y Bebidas",14.29,,
"Santa Anita",564,46.63,53.37,26.95,67.91,5.14,0,1.59,1.85,53.11,60.67,39.33,99.16,60.34,39.66,0.84,82.98,157,3.59,100,98.5,99.78,100,97.1,82.89,47,"Comercio Menudeo",42.55,"Financieros y Seguros",12.77,"Otros servicios, excepto Gobierno",10.64,"Preparación de Alimentos y Bebidas",10.64,"Salud",4.26
