"Colonia","Población total","Porcentaje de población masculina","Porcentaje de población femenina","Porcentaje de población de 0 a 14 años","Porcentaje de población de 15 a 64 años","Porcentaje de población de 65 y más años","Porcentaje de población no especificada","Fecundidad promedio","Porcentaje de población con discapacidad","Población Económicamente Activa","Población Económicamente Activa masculina","Población Económicamente Activa femenina","Población Ocupada","Población Ocupada masculina","Población Ocupada femenina","Población Desocupada","Derechohabiencia","Hogares","Ocupación por Vivienda","Viviendas con Electricidad","Viviendas con Agua","Viviendas con Drenaje","Viviendas con Televisión","Viviendas con Automóvil","Viviendas con Computadora","Total Actividades Económicas","Primer actividad nombre","Primer actividad porcentaje","Segunda actividad nombre","Segunda actividad porcentaje","Tercera actividad nombre","Tercera actividad porcentaje","Cuarta actividad nombre","Cuarta actividad porcentaje","Quinta actividad nombre","Quinta actividad porcentaje"
"Villas La Rosita",480,46.67,53.33,12.5,71.25,8.75,7.5,1.51,3.39,54.09,61.01,38.99,92.65,61.08,38.92,7.35,73.75,128,3.75,100,100,100,97.66,96.09,88.28,20,"Financieros y Seguros",15,"Preparación de Alimentos y Bebidas",15,"Información Medios Masivos",10,"Comercio Menudeo",10,"Educativos",10
"Villas Las Margaritas",49,20.41,79.59,6.12,34.69,59.18,0.01,1.97,38.78,19.15,33.33,66.67,100,33.33,66.67,0,95.92,3,16.33,100,100,100,100,100,100,1,"Salud",100,,,,,,,,
"Villas Residenciales",322,47.52,52.48,18.63,76.09,4.35,0.93,1.53,0.93,50.71,56.64,43.36,92.52,54.89,45.11,7.48,79.81,92,3.5,100,100,100,98.91,90.22,88.04,12,"Manejo de Residuos",25,"Comercio Menudeo",16.67,"Educativos",16.67,"Otros servicios, excepto Gobierno",8.33,"Preparación de Alimentos y Bebidas",8.33
"Villas Saltillo 400 - Palmas Aeropuerto",395,51.14,48.86,25.32,66.58,2.78,5.32,1.57,1.27,56.45,60.57,39.43,91.36,60.25,39.75,8.64,79.24,102,3.87,99.02,99.02,99.02,99.02,82.35,73.53,10,"Comercio Menudeo",40,"Industria Manufacturera",30,"Otros servicios, excepto Gobierno",20,"Financieros y Seguros",10,,
"Villas San Agustín",773,49.35,50.65,36.95,62.57,0.44,0.04,1.7,0.77,66.06,65.94,34.06,96.03,65.5,34.5,3.97,77.87,234,3.3,100,100,100,99.45,41.53,36.26,23,"Comercio Menudeo",47.83,"Otros servicios, excepto Gobierno",26.09,"Salud",8.7,"Preparación de Alimentos y Bebidas",8.7,"Manejo de Residuos",4.35
"Villas San José",455,52.31,47.69,35.82,61.98,1.98,0.22,1.75,1.45,59.5,61.78,38.22,96.2,60.87,39.13,3.8,84.4,130,3.5,100,100,100,100,85.38,69.23,5,"Comercio Menudeo",60,"Preparación de Alimentos y Bebidas",20,"Industria Manufacturera",20,,,,
"Villas Santorini",880,50.68,49.32,34.09,58.3,3.18,4.43,1.49,1.26,69.49,57.11,42.89,98.97,56.67,43.33,1.03,81.48,245,3.59,99.59,98.37,98.78,99.59,98.37,90.61,12,"Comercio Menudeo",50,"Educativos",16.67,"Inmobiliarios",8.33,"Otros servicios, excepto Gobierno",8.33,"Preparación de Alimentos y Bebidas",8.33
"Villas Universidad 1° Etapa",1356,48.23,51.77,37.68,60.55,1.55,0.22,1.78,1.66,60.9,63.49,36.51,94.91,62.95,37.05,5.09,75.59,391,3.47,99.23,99.23,100,98.21,44.75,24.13,19,"Comercio Menudeo",47.37,"Otros servicios, excepto Gobierno",15.79,"Preparación de Alimentos y Bebidas",15.79,"Educativos",5.26,"Manejo de Residuos",5.26
"Villas Universidad 2° Etapa",668,49.55,50.45,33.23,64.52,2.25,0,1.54,1.69,66.23,61.44,38.56,95.22,60.96,39.04,4.78,83.83,190,3.52,100,100,100,98.42,80.53,52.11,14,"Comercio Menudeo",64.29,"Salud",14.29,"Preparación de Alimentos y Bebidas",14.29,"Educativos",7.14,,
"Villas Universidad 3° Etapa",994,47.79,52.21,39.74,57.75,2.21,0.3,2.02,1.43,62.88,66.33,33.67,88.35,66.57,33.43,11.65,76.26,273,3.64,99.63,99.63,100,99.63,41.76,19.41,18,"Comercio Menudeo",50,"Otros servicios, excepto Gobierno",16.67,"Preparación de Alimentos y Bebidas",16.67,"Industria Manufacturera",11.11,"Educativos",5.56
"Villas Universidad Oriente",1095,49.04,50.96,34.16,62.83,3.01,0,2.09,1.37,62.38,67.81,32.19,91.93,67.29,32.71,8.07,72.69,326,3.36,100,100,100,97.85,38.04,16.19,19,"Comercio Menudeo",68.42,"Otros servicios, excepto Gobierno",10.53,"Salud",5.26,"Educativos",5.26,"Manejo de Residuos",5.26
"Villas Universidad Oriente Etapa II",176,51.14,48.86,32.95,66.48,0.57,0,1.71,2.81,68.6,68.67,31.33,85.03,68.06,31.94,14.97,90.34,53,3.32,98.11,98.11,98.11,98.11,67.92,30.19,11,"Comercio Menudeo",63.64,"Otros servicios, excepto Gobierno",18.18,"Preparación de Alimentos y Bebidas",18.18,,,,
